tick,time_s,requested_w,received_w
1,60,0,0
2,120,180,180
3,180,180,180
4,240,180,153.077
5,300,180,141.242
6,360,180,146.231
7,420,180,151.081
8,480,180,155.769
9,540,0,0
10,600,0,0
11,660,0,0
12,720,0,0
13,780,0,0
14,840,0,0
15,900,0,0
16,960,0,0
17,1020,0,0
18,1080,0,0
19,1140,0,0
20,1200,0,0
21,1260,0,0
22,1320,0,0
23,1380,0,0
24,1440,0,0
25,1500,150,150
26,1560,150,150
27,1620,150,150
28,1680,150,150
29,1740,150,150
30,1800,150,150
31,1860,150,150
32,1920,150,150
33,1980,150,150
34,2040,150,150
35,2100,150,150
36,2160,0,0
37,2220,0,0
38,2280,0,0
39,2340,0,0
40,2400,180,180
41,2460,180,180
42,2520,180,180
43,2580,180,180
44,2640,180,180
45,2700,180,180
46,2760,180,180
47,2820,180,180
48,2880,180,180
49,2940,180,180
50,3000,180,180
51,3060,180,180
52,3120,180,180
53,3180,180,180
54,3240,180,180
55,3300,180,180
56,3360,180,180
57,3420,180,180
58,3480,180,180
59,3540,180,180
60,3600,180,180
61,3660,180,180
62,3720,180,180
63,3780,180,180
64,3840,180,180
65,3900,180,180
66,3960,0,0
67,4020,0,0
68,4080,0,0
69,4140,0,0
70,4200,120,120
71,4260,120,120
72,4320,120,120
73,4380,120,120
74,4440,120,120
75,4500,120,120
