tick,time,key,value
0,0,status,1
0,0,granted,0
0,0,requested,150
1,0.1,granted,0
1,0.1,requested,150
2,0.2,granted,0
2,0.2,requested,150
3,0.3,granted,59.104
3,0.3,requested4,0.44,0.4,granted,72.8837
4,0.4,req5,0.5,granted,0
5,0.5,requested,150
6,0.6,granted,0
66,0.6,granted,107.97,0.7,granted,0
7,0.7,requested,150
8,0.8,granted,0
8,0.8,r8,0.8,granted9,0.9,granted,0
9,0.9,r9,0.9,granted10,1,granted,0
10,1,reque10,1,gran11,1.1,granted,0
11,1.1,requested,150
12,1.2,granted,0
12,1.2,req12,1.2,gran13,1.3,granted,0
13,1.3,requested,150
14,1.4,granted,0
14,1.4,request14,1.4,15,1.5,granted,0
15,1.5,requested,150
16,1.6,granted,0
16,1.6,requested,116,17,1.7,granted,0
17,1.7,requested,150118,1.8,granted,0
18,1.8,requested,150
19,1.9,granted,0
19,1.9,requested,150
20,2,granted,0
20,2,requested,150
21,2.1,granted,0
21,2.1,requested,150
22,2.2,granted,0
22,2.2,requested,150
23,2.3,granted,0
23,2.3,requested,150
24,2.4,granted,0
24,2.4,requested,150
25,2.5,granted,0
25,2.5,requested,150
26,2.6,granted,0
26,2.6,requested,150
27,2.7,granted,0
27,2.7,requested,150
28,2.8,granted,0
28,2.8,requested,150
29,2.9,granted,0
29,2.9,requested,150
30,3,granted,0
30,3,requested,150
31,3.1,granted,0
31,3.1,requested,150
32,3.2,granted,0
32,3.2,requested,150
33,3.3,granted,0
33,3.3,requested,150
34,3.4,granted,0
34,3.4,requested,150
35,3.5,granted,0
35,3.5,requested,150
36,3.6,granted,0
36,3.6,requested,150
37,3.7,granted,0
37,3.7,requested,150
38,3.8,granted,0
38,3.8,requested,150
39,3.9,granted,0
39,3.9,requested,150
40,4,granted,0
40,4,requested,150
41,4.1,granted,0
41,4.1,requested,150
42,4.2,granted,0
42,4.2,requested,150
43,4.3,granted,0
43,4.3,requested,150
44,4.4,granted,0
44,4.4,requested,150
45,4.5,granted,0
45,4.5,requested,150
46,4.6,granted,0
46,4.6,requested,150
47,4.7,granted,0
47,4.7,requested,150
48,4.8,granted,0
48,4.8,requested,150
49,4.9,granted,0
49,4.9,requested,150
50,5,granted,0
50,5,requested,150
51,5.1,granted,0
51,5.1,requested,150
52,5.2,granted,0
52,5.2,requested,150
53,5.3,granted,0
53,5.3,requested,150
54,5.4,granted,0
54,5.4,requested,150
55,5.5,granted,0
55,5.5,requested,150
56,5.6,granted,0
56,5.6,requested,150
57,5.7,granted,0
57,5.7,requested,150
58,5.8,granted,0
58,5.8,requested,150
59,5.9,granted,0
59,5.9,requested,150
60,6,granted,0
60,6,requested,150
61,6.1,granted,36.4325
61,6.1,requested,150
62,6.2,granted,16.6179
62,6.2,requested,150
63,6.3,granted,3.36278
63,6.3,requested,150
64,6.4,granted,23.3098
64,6.4,requested,150
65,6.5,granted,38.024
65,6.5,requested,150
66,6.6,granted,57.3083
66,6.6,requested,150
67,6.7,granted,0
