tick,time_s,status,act_temp_K,target_temp_K,heatInput_w,underflux_streak,temp_miss_streak
1,60,1,300,300,0,0,0
2,120,1,300,300,0,0,0
3,180,1,300,300,0,0,0
4,240,1,300,300,0,0,0
5,300,1,300,300,0,0,0
6,360,1,300,300,0,0,0
7,420,1,300,300,0,0,0
8,480,1,300,300,0,0,0
9,540,1,300,300,0,0,0
10,600,1,393.6,1235.61,1560,0,0
11,660,1,478.776,1235.61,1560,0,0
12,720,1,556.286,1235.61,1560,0,0
13,780,1,626.82,1235.61,1560,0,0
14,840,1,691.007,1235.61,1560,0,0
15,900,1,749.416,1235.61,1560,0,0
16,960,1,802.569,1235.61,1560,0,0
17,1020,1,850.937,1235.61,1560,0,0
18,1080,1,894.953,1235.61,1560,0,0
19,1140,1,935.007,1235.61,1560,0,0
20,1200,1,971.457,1235.61,1560,0,0
21,1260,1,1004.63,1235.61,1560,0,0
22,1320,1,1034.81,1235.61,1560,0,0
23,1380,1,1062.28,1235.61,1560,0,0
24,1440,1,1087.27,1235.61,1560,0,0
25,1500,1,1110.02,1235.61,1560,0,0
26,1560,1,1130.72,1235.61,1560,0,0
27,1620,1,1149.55,1235.61,1560,0,0
28,1680,1,1166.69,1235.61,1560,0,1
29,1740,1,1182.29,1235.61,1560,0,2
30,1800,1,1196.48,1235.61,1560,0,0
31,1860,1,1209.4,1235.61,1560,0,0
32,1920,1,1221.15,1235.61,1560,0,0
33,1980,1,1231.85,1235.61,1560,0,0
34,2040,1,1241.58,1235.61,1560,0,0
35,2100,1,1250.44,1235.61,1560,0,0
36,2160,1,1258.5,1235.61,1560,0,0
37,2220,1,1265.84,1235.61,1560,0,0
38,2280,1,1272.51,1235.61,1560,0,0
39,2340,1,1278.58,1235.61,1560,0,0
40,2400,1,1284.11,1235.61,1560,0,0
41,2460,1,1217.16,1235.61,360.289,0,0
42,2520,1,1134.62,1235.61,0,1,0
43,2580,1,1059.5,1235.61,0,2,1
44,2640,1,991.145,1235.61,0,3,2
45,2700,1,928.942,1235.61,0,4,3
46,2760,1,872.337,300,0,0,0
47,2820,1,820.827,300,0,0,0
48,2880,1,773.952,300,0,0,0
49,2940,1,731.297,300,0,0,0
50,3000,1,692.48,300,0,0,0
51,3060,1,657.157,300,0,0,0
52,3120,1,625.013,300,0,0,0
53,3180,1,595.761,300,0,0,0
54,3240,1,569.143,300,0,0,0
55,3300,1,544.92,300,0,0,0
56,3360,1,522.877,300,0,0,0
57,3420,1,502.818,300,0,0,0
58,3480,1,484.565,300,0,0,0
59,3540,1,467.954,300,0,0,0
60,3600,1,452.838,300,0,0,0
61,3660,1,439.083,300,0,0,0
62,3720,1,426.565,300,0,0,0
63,3780,1,415.174,300,0,0,0
64,3840,1,404.809,300,0,0,0
65,3900,1,395.376,300,0,0,0
66,3960,1,386.792,300,0,0,0
67,4020,1,378.981,300,0,0,0
