tick,time_s,requested_w,received_w
1,60,0,0
2,120,180,180
3,180,180,180
4,240,180,180
5,300,180,180
6,360,180,180
7,420,180,180
8,480,180,180
9,540,180,180
10,600,180,180
11,660,180,180
12,720,180,180
13,780,180,180
14,840,180,180
15,900,180,180
16,960,180,180
17,1020,180,167.601
18,1080,180,130.941
19,1140,180,124.628
20,1200,180,118.182
21,1260,180,111.633
22,1320,0,0
23,1380,0,0
24,1440,0,0
25,1500,120,120
26,1560,120,63.3511
27,1620,120,0
28,1680,120,0
29,1740,120,0
30,1800,120,0
31,1860,0,0
32,1920,0,0
33,1980,0,0
34,2040,0,0
35,2100,0,0
36,2160,0,0
37,2220,0,0
38,2280,0,0
39,2340,0,0
40,2400,0,0
41,2460,0,0
42,2520,0,0
43,2580,0,0
44,2640,0,0
45,2700,0,0
46,2760,0,0
47,2820,0,0
48,2880,0,0
49,2940,0,0
50,3000,0,0
51,3060,0,0
52,3120,0,0
53,3180,0,0
54,3240,0,0
55,3300,0,0
56,3360,0,0
57,3420,0,0
58,3480,0,0
59,3540,0,0
60,3600,0,0
61,3660,0,0
62,3720,0,0
63,3780,0,0
64,3840,0,0
65,3900,0,0
66,3960,0,0
67,4020,0,0
68,4080,0,0
69,4140,0,0
70,4200,0,0
71,4260,0,0
72,4320,0,0
73,4380,0,0
74,4440,0,0
75,4500,0,0
